FROM,TO,COST INDEX,DISTANCE (KM),NOTE
JABODETABEK,SERANG,1,83,
JABODETABEK,PURWAKARTA,1,100,
JABODETABEK,INDRAMAYU,1,203,
JABODETABEK,SUKABUMI,1,119,
BANDUNG,SUKABUMI,1,97,
BANDUNG,PURWAKARTA,1,62,
CIREBON,INDRAMAYU,1,55,
CIREBON,BANDUNG,1,141,
CIREBON,PURWAKARTA,1,152,
CIREBON,TASIKMALAYA,1,109,
CIREBON,TEGAL,1,79,
TEGAL,PURWOKERTO,1,106,
TEGAL,PEKALONGAN,1,90,
PEKALONGAN,SEMARANG,1,93,
SOLO,SEMARANG,1,107,
SOLO,YOGYAKARTA,1,65,
SOLO,NGAWI,1,83,
NGAWI,MADIUN,1,38,
SURABAYA,NGAWI,1,183,
SURABAYA,MALANG,1,96,
SURABAYA,PULAU MADURA,3,98,Shipping over water
BANYUWANGI,MALANG,1,311,
BANYUWANGI,BALI,3,138,Shipping over water